stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_accesible
257,BMMC1,Merrick Rd + Centre Ave.,,40.662929,-73.528994,,,,,,
258,MKWN1,Merrick Rd + Wantagh Ave,,40.664517,-73.510734,,,,,,
259,SEAF1,Merrick Rd + Jackson Ave,,40.666181,-73.486892,,,,,,
260,BARH1,Merrick Rd + Park Blvd,,40.666519,-73.457016,,,,,,
261,SUNM1,SUNRISE MALL TERMINAL,,40.682104,-73.432405,,,,,,
266,BYRR1,Babylon LIRR Station,,40.70009,-73.325589,,,,,,
268,NSHH1,North Shore Univ Hospital,,40.778683,-73.703075,,,,,,
270,LIJH1,L I Jewish Medical Center,,40.755915,-73.704123,,,,,,
271,NHPK1,Hillside Ave + New Hyde Park Rd,,40.748235,-73.685408,,,,,,
272,NHPJ1,Jericho Tpke + New Hyde Park Rd,,40.733676,-73.680234,,,,,,
274,LYRR2,Lynbrook LIRR Station,,40.655614,-73.6737,,,,,,
276,FRWC1,B 20th St + Seagirt Blvd (Wavecrest),,40.595441,-73.754381,,,,,,
278,LWWH1,Central Ave + Washington Ave,,40.619783,-73.726717,,,,,,
279,WWIP1,West Broadway + Irving Place,,40.635011,-73.711905,,,,,,
280,WDIP1,Broadway + Irving Place,,40.630607,-73.708148,,,,,,
281,HWTB1,Broadway + West Broadway,,40.639171,-73.700768,,,,,,
282,MVRR1,Malverne LIRR Station,,40.674958,-73.669923,,,,,,
283,HEMP1,Hempstead Transit Center,,40.711107,-73.624657,,,,,,
284,LBRR1,Long Beach LIRR Station,,40.589056,-73.665503,,,,,,
285,ABBK1,ATL BCH W BEECH ST @ BROOKLINE AVE,,40.586005,-73.701619,,,,,,
286,ABAY1,ATL BEACH PARK ST ALBANY BLVD,,40.589497,-73.73639,,,,,,
288,OCND1,Long Beach Rd + Davison Ave,,40.641614,-73.640187,,,,,,
